시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202201,3,"35,000",3,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,202201,2,"28,100",6,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202201,4,"29,000",12,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,202201,8,"27,100",2,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,318-4,318,4,매화임대,48.6,202201,9,"9,000",4,1987,율곡로2968번길 26,,중개거래,강원 강릉시
강원도 강릉시 교동,1775,1775,0,부영6,59.987,202201,9,"24,500",3,2003,정원로 53-9,,중개거래,강원 강릉시
강원도 강릉시 노암동,610,610,0,노암남산현대,59.84,202201,12,"11,100",14,1998,남부로125번길 11,,직거래,-
강원도 강릉시 노암동,627-2,627,2,대림임대,48.32,202201,4,"7,700",5,1989,임영로25번길 13,,중개거래,강원 강릉시
강원도 강릉시 노암동,245-5,245,5,현대,84.945,202201,8,"18,600",3,1992,율곡로 2733,,중개거래,강원 강릉시
강원도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,74.88,202201,4,"42,000",1,2018,선수촌로 113,,중개거래,강원 강릉시
강원도 강릉시 입암동,503-2,503,2,강동2,59.64,202201,5,"8,300",4,1991,강변로410번길 37,,중개거래,강원 강릉시
강원도 강릉시 입암동,210,210,0,이안강릉타운,122.72,202201,4,"40,700",13,2006,성덕로 316-22,,중개거래,강원 강릉시
강원도 강릉시 입암동,641,641,0,입암1주공,47.1,202201,6,"13,000",5,1986,강변로 364,,중개거래,강원 강릉시
강원도 강릉시 입암동,49,49,0,입암2주공,46.68,202201,6,"12,500",2,1990,강변로 508,,직거래,-
